# Wavelength (micron)  Signal (photon/sec/pixel)
       2.2111485      0.31486626
       2.2114489      0.31640261
       2.2117491      0.31920039
       2.2120495      0.31965000
       2.2123497      0.31960842
       2.2126501      0.31947214
       2.2129502      0.31953602
       2.2132506      0.31956192
       2.2135510      0.31939126
       2.2138512      0.31882544
       2.2141516      0.31829765
       2.2144518      0.31743777
       2.2147522      0.31414938
       2.2150524      0.31407920
       2.2153528      0.31684806
       2.2156529      0.31341045
       2.2159534      0.30448943
       2.2162535      0.30220006
       2.2165539      0.30114003
       2.2168541      0.30748614
       2.2171545      0.31376333
       2.2174549      0.31418782
       2.2177551      0.31324496
       2.2180555      0.31207238
       2.2183557      0.31125357
       2.2186561      0.31073248
       2.2189562      0.31125319
       2.2192566      0.31151678
       2.2195570      0.31057715
       2.2198572      0.30974685
       2.2201576      0.31008266
       2.2204578      0.30898880
       2.2207582      0.30797446
       2.2210584      0.30656519
       2.2213588      0.29817756
       2.2216589      0.29611307
       2.2219594      0.30217657
       2.2222595      0.30728665
       2.2225599      0.30886155
       2.2228603      0.30875944
       2.2231605      0.30925597
       2.2234609      0.30928081
       2.2237611      0.30838588
       2.2240615      0.30830791
       2.2243617      0.30891535
       2.2246621      0.30830594
       2.2249622      0.30673050
       2.2252626      0.30534475
       2.2255628      0.30763883
       2.2258632      0.30803617
       2.2261636      0.30772913
       2.2264638      0.30305292
       2.2267642      0.30056883
       2.2270644      0.30047269
       2.2273648      0.30267172
       2.2276649      0.30791344
       2.2279654      0.30908672
       2.2282655      0.30928321
       2.2285659      0.31004552
       2.2288663      0.31023760
       2.2291665      0.30952102
       2.2294669      0.30994486
       2.2297671      0.31034123
       2.2300675      0.30971473
       2.2303677      0.30854834
       2.2306681      0.30722064
       2.2309682      0.30628620
       2.2312686      0.30277712
       2.2315688      0.29479669
       2.2318692      0.29778517
       2.2321696      0.29748489
       2.2324698      0.29352330
       2.2327702      0.30081074
       2.2330704      0.30379254
       2.2333708      0.30218141
       2.2336709      0.29778534
       2.2339714      0.30132150
       2.2342715      0.30360442
       2.2345719      0.30320373
       2.2348723      0.30316271
       2.2351725      0.30162334
       2.2354729      0.30207582
       2.2357731      0.30044364
       2.2360735      0.29680479
       2.2363737      0.29435836
       2.2366741      0.29545515
       2.2369742      0.29930884
       2.2372746      0.29749466
       2.2375748      0.29330211
       2.2378752      0.29256862
       2.2381756      0.29478718
       2.2384758      0.29908875
       2.2387762      0.30062470
       2.2390764      0.30015353
       2.2393768      0.29868505
       2.2396770      0.29646745
       2.2399774      0.29495625
       2.2402778      0.29044268
       2.2405779      0.29166761
       2.2408783      0.29382185
       2.2411785      0.29077452
       2.2414789      0.28687981
