# wavelength[Angstrom] f_lambda[erg/cm^2/s/Angstrom]
# AB magnitudes will be: J ~ 0.90, H ~  1.37, K_s ~ 1.84
2245.48 4.255943e-09
2247.73 4.236107e-09
2249.98 4.157558e-09
2252.24 4.172633e-09
2254.50 4.058380e-09
2256.76 4.052826e-09
2259.02 4.218652e-09
2261.29 4.305929e-09
2263.55 4.330525e-09
2265.82 4.217065e-09
2268.09 4.211512e-09
2270.37 4.409868e-09
2272.64 4.556652e-09
2274.92 4.425737e-09
2277.20 4.253563e-09
2279.48 4.339253e-09
2281.77 4.500319e-09
2284.06 4.501906e-09
2286.35 4.534436e-09
2288.64 4.632028e-09
2290.93 4.659798e-09
2293.23 4.467788e-09
2295.53 4.237695e-09
2297.83 3.969516e-09
2300.13 4.030610e-09
2302.44 4.210718e-09
2304.75 4.243248e-09
2307.06 4.291647e-09
2309.37 4.302755e-09
2311.69 4.106779e-09
2314.00 3.952061e-09
2316.32 4.109159e-09
2318.65 4.149624e-09
2320.97 4.189296e-09
2323.30 4.253563e-09
2325.63 4.036164e-09
2327.96 3.942540e-09
2330.29 4.013948e-09
2332.63 3.902075e-09
2334.97 3.905249e-09
2337.31 3.937779e-09
2339.65 3.917943e-09
2342.00 3.795756e-09
2344.34 3.496633e-09
2346.69 3.537892e-09
2349.05 3.817972e-09
2351.40 4.070281e-09
2353.76 4.029023e-09
2356.12 3.936985e-09
2358.48 3.837014e-09
2360.84 3.593432e-09
2363.21 3.659286e-09
2365.58 3.722760e-09
2367.95 3.802103e-09
2370.33 3.871925e-09
2372.70 3.862403e-09
2375.08 3.829080e-09
2377.46 3.868751e-09
2379.84 3.547413e-09
2382.23 3.160220e-09
2384.62 3.412530e-09
2387.01 3.664840e-09
2389.40 3.543446e-09
2391.80 3.727521e-09
2394.20 3.715619e-09
2396.60 3.560108e-09
2399.00 3.641037e-09
2401.40 3.664047e-09
2403.81 3.549793e-09
2406.22 3.377620e-09
2408.63 3.470450e-09
2411.05 3.486319e-09
2413.46 3.613267e-09
2415.88 3.748943e-09
2418.31 3.883033e-09
2420.73 4.079803e-09
2423.16 3.956821e-09
2425.59 3.761638e-09
2428.02 3.691023e-09
2430.45 3.647385e-09
2432.89 3.665634e-09
2435.33 3.562488e-09
2437.77 3.664047e-09
2440.21 3.936985e-09
2442.66 4.055206e-09
2445.11 3.830666e-09
2447.56 3.702925e-09
2450.01 3.720380e-09
2452.47 3.752117e-09
2454.93 3.860023e-09
2457.39 3.918737e-09
2459.85 3.835427e-09
2462.32 3.722760e-09
2464.79 3.655319e-09
2467.26 3.664840e-09
2469.73 3.656906e-09
2472.21 3.595812e-09
2474.69 3.664840e-09
2477.17 3.679122e-09
2479.65 3.598192e-09
2482.14 3.618821e-09
2484.62 3.650558e-09
2487.11 3.802103e-09
2489.61 3.709272e-09
2492.10 3.571216e-09
2494.60 3.765605e-09
2497.10 3.929845e-09
2499.61 3.966342e-09
2502.11 4.004427e-09
2504.62 3.905249e-09
2507.13 3.813211e-09
2509.64 3.788615e-09
2512.16 3.715619e-09
2514.68 3.739422e-09
2517.20 3.752117e-09
2519.72 3.694990e-09
2522.25 3.617235e-09
2524.78 3.460929e-09
2527.31 3.283202e-09
2529.84 3.379206e-09
2532.38 3.661666e-09
2534.92 3.614854e-09
2537.46 3.300657e-09
2540.00 3.202272e-09
2542.55 3.383174e-09
2545.10 3.458549e-09
2547.65 3.303037e-09
2550.20 3.218934e-09
2552.76 3.593432e-09
2555.32 3.767985e-09
2557.88 3.664840e-09
2560.45 3.572009e-09
2563.01 3.537892e-09
2565.58 3.690230e-09
2568.15 3.842568e-09
2570.73 3.900488e-09
2573.31 3.860817e-09
2575.89 3.810037e-09
2578.47 3.817178e-09
2581.05 3.879066e-09
2583.64 3.822732e-09
2586.23 3.763225e-09
